Series ID,Area,Datatype,Industry,Ownership,Size,year,period,periodName,value,footnotes
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M09,September,704828,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M08,August,704156,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M07,July,705360,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M06,June,711185,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M05,May,705517,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M04,April,700154,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M03,March,694731,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M02,February,691633,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2019,M01,January,691981,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M12,December,708994,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M11,November,709360,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M10,October,707317,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M09,September,704316,[{}]
ENU4200310010,"Allegheny County, Pennsylvania",All Employees,"10 Total, all industries",Total Covered,All establishment sizes,2018,M08,August,702964,[{}]
